transformation,model,mean_nss,mean_ig,median_nss,median_ig,std_nss,std_ig
Reference,deepgaze_1024_576,2.4429188,0.16648021,2.1202006,0.11051251,1.2049832,0.58185846
Reference,deepgaze_1920_1080,2.2486422,-0.051525574,1.9363555,-0.0746979,1.2642239,0.63171226
Reference,unisal_384_224,2.1563418,0.03814673,2.0197787,0.0067179585,0.9114577,0.51479447
Reference,unisal_384_288,2.1165197,0.013494695,1.9366572,-0.0025078598,0.9062041,0.5155937
Reference,unisal_384_216,2.139228,0.025207944,1.9991943,0.02735751,0.92142737,0.51583713
Reference,unisal_1920_1080,1.6001309,-0.45005584,1.5000732,-0.50326705,0.67424613,0.50880885
Reference,real,3.534854730051088,1.2653773016076966,3.3283800132598236,1.208602472623568,0.8275498290117512,0.36352611401811336
Reference,centerbias,2.0664535,0.0,1.9398147,0.0,0.704585,0.0
Boundary,deepgaze_1024_576,2.121442,0.09465105,2.0258224,0.029990887,0.82124585,0.5464147
Boundary,deepgaze_1920_1080,1.8999008,-0.09442326,1.8406177,-0.09559059,0.73803043,0.55712515
Boundary,unisal_384_224,1.7656726,-0.10808171,1.6936705,-0.1473617,0.55247885,0.45779732
Boundary,unisal_384_288,1.7807603,-0.088245876,1.666315,-0.14969756,0.55036974,0.4805652
Boundary,unisal_384_216,1.7447362,-0.10867929,1.645525,-0.17547184,0.53380406,0.4379286
Boundary,unisal_1920_1080,1.4018244,-0.39455846,1.3163879,-0.4562961,0.46425787,0.45116585
Boundary,real,3.1980003939666677,1.1878087873981338,3.189300893740765,1.1607189577546801,0.6740149399453934,0.3655956554009847
Boundary,centerbias,1.9633803,0.0,1.9420424,0.0,0.5934468,0.0
Compression_1,deepgaze_1024_576,2.1357422,-0.033009626,1.9861026,-0.042071275,0.91623634,0.53911036
Compression_1,deepgaze_1920_1080,1.9434277,-0.24207361,1.7673516,-0.21008164,0.94432604,0.55177337
Compression_1,unisal_384_224,1.9851338,-0.07424273,1.836828,-0.054717526,0.7647872,0.48698524
Compression_1,unisal_384_288,1.9518349,-0.09197552,1.8264935,-0.10176109,0.72499305,0.4702128
Compression_1,unisal_384_216,1.9786019,-0.08223388,1.8195419,-0.10364252,0.7791679,0.49196893
Compression_1,unisal_1920_1080,1.4652188,-0.50830483,1.3303783,-0.4993583,0.51910704,0.44570127
Compression_1,real,3.225170574858166,1.0831703950521891,3.09564010235093,1.0093559515652286,0.6654698512040141,0.31111937452949684
Compression_1,centerbias,2.0913706,0.0,2.054129,0.0,0.57690513,0.0
