transformation,image_number,ssim,cc,kl,reference_nss,reference_ig,transformed_nss,transformed_ig
Boundary,1,0.2483685055821884,0.6375826624922476,0.59662175,4.0026484,0.376817,3.217753,0.44883415
Boundary,2,0.3054560697633053,0.6970627212031254,0.31623486,2.0370734,0.4878083,1.5835352,-0.41339245
Boundary,3,0.24230140613127707,0.9227478755852918,0.19693585,3.8801582,0.16621608,4.065569,1.0195384
Boundary,4,0.4005673885678145,0.6297630779359769,0.3640507,4.1252074,0.8638166,2.078731,-0.110508725
Boundary,5,0.20155185154081093,0.5144382234129974,0.50502414,2.0556731,-0.073588505,1.5522505,-0.97960293
Boundary,6,0.2551448860891498,0.92689898023074,0.15195955,4.809944,0.95480746,3.4910696,1.6355875
Boundary,7,0.5857396031127456,0.7677392727398195,0.26549238,1.8002288,0.3245652,2.5001805,1.0141323
Boundary,8,0.2573988680741096,0.8939942968984365,0.2793166,4.974311,1.0055858,4.115369,0.47733852
Boundary,9,0.2510807496667844,0.8131765430799069,0.31293678,3.6036658,1.1472638,2.7202477,0.33554167
Boundary,10,0.2617346379309746,0.6629026920407551,0.26664102,1.9628421,0.21121626,1.7470198,0.19225168
Boundary,11,0.15807100501284907,0.6565469312431833,0.39187342,1.6653601,0.44461665,1.836315,0.30291808
Boundary,12,0.11307370412178885,0.46203550020792783,0.63753605,2.7172697,1.4539742,2.334315,0.043171193
Boundary,13,0.16828703425676914,0.8955193445835502,0.15510193,2.3889,0.3779284,2.5282776,0.8200813
Boundary,14,0.5664501894578432,0.7393981223071814,0.21395183,3.2309778,1.1316534,2.4736464,0.51560473
Boundary,15,0.15018743882039248,0.42686212004858914,0.6778503,2.0887368,0.51702464,1.021352,-0.57102895
Boundary,16,0.22550058080935464,0.5989764183955572,0.21513686,0.7907352,-0.99813366,1.3062105,-0.5746106
Boundary,17,0.11281659415820113,0.5181993287584208,0.380121,1.7854953,-0.124306895,1.2017413,0.45676035
Boundary,18,0.1531828997573145,0.7546494626751277,0.36109155,3.905451,0.15558027,2.894001,-0.16488345
Boundary,19,0.14825656403596302,0.8093529116640361,0.23650366,5.1759677,0.65609336,3.1790705,0.34768412
Boundary,20,0.16656243481471678,0.5682372744881136,0.48053795,1.3960994,0.07508945,2.0279431,-0.16133569
Boundary,21,0.2882203794479883,0.6678451177606368,0.4733745,5.361963,1.2751038,4.9204893,0.42517716
Boundary,22,0.17444557389356355,0.8882164584564956,0.20222948,3.2985606,0.333848,2.753948,0.33916575
