transformation,image_number,ssim,cc,kl,reference_nss,reference_ig,loss_nss,loss_ig
Boundary,1,0.2483685055821884,0.6375826624922476,0.59662175,4.0026484,0.376817,0.39350438420815226,0.01666370681598156
Boundary,2,0.3054560697633053,0.6970627212031254,0.31623486,2.0370734,0.4878083,0.6152302902686636,0.6880794762692966
Boundary,3,0.24230140613127707,0.9227478755852918,0.19693585,3.8801582,0.16621608,0.019783964782911667,-0.44428892869430736
Boundary,4,0.4005673885678145,0.6297630779359769,0.3640507,4.1252074,0.8638166,0.8061907973169624,0.638914288401198
Boundary,5,0.20155185154081093,0.5144382234129974,0.50502414,2.0556731,-0.073588505,0.4295393261842898,0.6178779950943509
Boundary,6,0.2551448860891498,0.92689898023074,0.15195955,4.809944,0.95480746,-0.030128573735652364,-0.34034837064348844
Boundary,7,0.5857396031127456,0.7677392727398195,0.26549238,1.8002288,0.3245652,-0.70276819689745,-0.3328177916342215
Boundary,8,0.2573988680741096,0.8939942968984365,0.2793166,4.974311,1.0055858,0.13628859583423458,0.3059006611602627
Boundary,9,0.2510807496667844,0.8131765430799069,0.31293678,3.6036658,1.1472638,0.36537751403536944,0.4147517262908027
Boundary,10,0.2617346379309746,0.6629026920407551,0.26664102,1.9628421,0.21121626,-0.07542731658421065,0.05229295578460441
Boundary,11,0.15807100501284907,0.6565469312431833,0.39187342,1.6653601,0.44461665,0.4146950733125797,0.05536437584539727
Boundary,12,0.11307370412178885,0.46203550020792783,0.63753605,2.7172697,1.4539742,0.5380395854711147,0.6778179468122866
Boundary,13,0.16828703425676914,0.8955193445835502,0.15510193,2.3889,0.3779284,-0.26776179911421716,-0.2833488756315564
Boundary,14,0.5664501894578432,0.7393981223071814,0.21395183,3.2309778,1.1316534,0.4006632625148271,0.241794120516913
Boundary,15,0.15018743882039248,0.42686212004858914,0.6778503,2.0887368,0.51702464,1.2517515768014267,0.8335892050899756
Boundary,16,0.22550058080935464,0.5989764183955572,0.21513686,0.7907352,-0.99813366,-0.1417191877338625,-0.26403049971397086
Boundary,17,0.11281659415820113,0.5181993287584208,0.380121,1.7854953,-0.124306895,0.04268387617589159,-0.3606533866625952
Boundary,18,0.1531828997573145,0.7546494626751277,0.36109155,3.905451,0.15558027,0.10756468280655096,0.2596270203179989
Boundary,19,0.14825656403596302,0.8093529116640361,0.23650366,5.1759677,0.65609336,0.8185668195983455,0.3296919330125877
Boundary,20,0.16656243481471678,0.5682372744881136,0.48053795,1.3960994,0.07508945,-0.07452105077579008,0.2086831946377822
Boundary,21,0.2882203794479883,0.6678451177606368,0.4733745,5.361963,1.2751038,0.23774462118556294,0.4735196708741907
Boundary,22,0.17444557389356355,0.8882164584564956,0.20222948,3.2985606,0.333848,-0.07570556108221582,-0.00863315701243661
Boundary,23,0.09186314396017113,0.746786457696281,0.33177364,3.196162,1.19457,-0.200761912969328,-0.13618867711241767
Boundary,24,0.15634777940937808,0.6227850183893701,0.516369,3.368913,0.7877806,0.6826541118964655,0.7888736021807545
Boundary,25,0.265168353163578,0.5496196687200966,0.3861638,4.2134767,0.1024932,0.9129147555170952,0.3277276612523492
Boundary,26,0.2498823349526358,0.6318353185250517,0.21493885,1.9438225,-0.22578402,0.4766549602223019,0.20652214261103974
Boundary,27,0.24789306699732092,0.867869972639642,0.19831973,3.5952628,0.8617386,0.1491584392721319,0.13710905017632746
Boundary,28,0.279966068054511,0.4966357734984972,0.59058064,2.2796924,0.68148667,0.44818537138895637,0.586815247283413
Boundary,29,0.2900441439107416,0.6037655019242711,0.40460384,0.90789276,-0.07297165,-0.31975731829024795,-0.26170527093784757
Boundary,30,0.2973497135367698,0.5796182621509863,0.5173512,1.9263022,-0.1239056,-0.1621382706993721,0.2872868417927971
Boundary,31,0.23464459927324657,0.8801078315070989,0.14244628,2.6056914,-0.2076544,-0.2803862655298019,-0.15060470420224814
Boundary,32,0.35825295104807536,0.7645461930547803,0.3909093,3.1166294,0.22213593,0.6591278616152683,0.8107796828098481
Boundary,33,0.2492350350977286,0.6851901001980796,0.21052238,2.595626,0.24308988,0.7308702487867754,0.2342990871448196
Boundary,34,0.45983294180184764,0.8917768966168456,0.0889829,1.8069247,-0.3694626,-0.9170504085132399,-0.35196082955536334
Boundary,35,0.2525243464884648,0.7546252371277268,0.13174684,1.3501881,-0.26369634,1.3946846873704262,0.70709458024573
Boundary,36,0.19419260896774668,0.7298306947986997,0.16199635,1.2316531,-0.8778576,0.21257713405825496,-0.12965626534300845
Boundary,37,0.10919501614351268,0.8223361759453371,0.12095964,1.8325655,0.83614177,3.2194045633532538,2.0451983173596093
Boundary,38,0.5673231815862808,0.7587624540225074,0.3190268,2.4834466,0.49233595,0.6073345919077746,0.11131057317683182
Boundary,39,0.4296741086490654,0.859779669883328,0.18090916,1.4849262,-0.19753869,-0.2900109577274285,-0.18920452969012883
Boundary,40,0.4456131886629,0.7665331849224558,0.13219103,1.0388715,-0.6761028,0.7720105958480559,-0.11187395150081292
Boundary,41,0.03835800713501487,0.8227663006875252,0.1452005,1.2824403,-0.42850316,0.4164215381989257,0.1891384713883697
Boundary,42,0.25070074132101045,0.9275998488357113,0.16123274,4.545988,0.78929913,0.2535294467392485,0.27019010912217356
Boundary,43,0.15237347674358945,0.6456468061206768,0.23567407,1.2778158,-0.1402206,0.6130735149919401,0.5117996807455446
Boundary,44,0.2467872302479376,0.9409863520674883,0.09907634,2.5783062,0.57740724,-0.43132232014622657,-0.0852299910248655
Boundary,45,0.1487089123416483,0.668640869007611,0.19345064,1.3203777,0.008177321,0.3597329984986302,0.38946659935023464
Boundary,46,0.25200844660824345,0.6750277777073425,0.23637843,1.064358,-0.39289543,0.18332586131571016,0.4234847017121622
Boundary,47,0.28665379960410936,0.9065587429398548,0.16394761,0.6936795,-0.33116218,-0.05375503671703398,-0.32584158264158714
Boundary,48,0.3044371088792914,0.779156251194298,0.25005776,1.3718692,-0.45945764,-0.5724109375434762,-0.5975957900895661
Boundary,49,0.269153553619179,0.5403284747349191,0.49666196,0.75497043,-0.943759,-0.9748845399720554,-0.9417321005636302
Boundary,50,0.1532814491850534,0.8875502506032649,0.20897852,2.4263604,0.067457944,-0.4418614662257834,-0.23561689556798737
Boundary,51,0.2545100351896952,0.7384051824560275,0.2834667,1.5694287,-0.20748861,-0.6443257271365685,-0.06215172302969213
Boundary,52,0.26815427586887725,0.7949922509245717,0.15609394,2.7351618,0.87640584,0.6768317180685288,0.561773480812729
Boundary,53,0.25451392693107827,0.6500182875868258,0.3439179,1.2919292,-0.9753425,-1.3107436312999357,-0.7067667781726132
Boundary,54,0.2822588937396704,0.9330682435457927,0.08609839,2.1516643,0.10996611,-0.2005419875205072,0.07288710950469597
Boundary,55,0.5866447229344048,0.798073496919151,0.19097269,1.8069149,-0.00042635042,-0.6989633784611265,-0.3802395735585093
Boundary,56,0.2598673648848388,0.771515987660807,0.17708978,1.2728046,-0.3695538,0.5494306520979019,-0.02456327134607722
Boundary,57,0.2510318180363519,0.765263025980972,0.18042639,1.4421101,-0.34778568,-0.6514490259982479,-0.4974610547672229
Boundary,58,0.24371266654645682,0.643121453310962,0.46503508,0.6259268,-0.066124335,-0.8171667930836126,-0.6305826839761562
