transformation,model,mean_nss,mean_ig,median_nss,median_ig,std_nss,std_ig
Boundary,deepgaze_1024_576,1.4748291,-0.93537325,1.4330957,-0.9760781,0.4356798,0.32241413
Boundary,real,3.1980003939666677,1.1878087873981338,3.189300893740765,1.1607189577546801,0.6740149399453934,0.3655956554009847
Boundary,centerbias,1.9633803,0.0,1.9420424,0.0,0.5934468,0.0
Compression_1,deepgaze_1024_576,1.5783559,-0.95051116,1.5631895,-0.9495438,0.49035507,0.30133
Compression_1,real,3.225170574858166,1.0831703950521891,3.09564010235093,1.0093559515652286,0.6654698512040141,0.31111937452949684
Compression_1,centerbias,2.0913706,0.0,2.054129,0.0,0.57690513,0.0
Compression_2,deepgaze_1024_576,1.5438793,-0.94434094,1.521894,-0.92115605,0.44616985,0.33449197
Compression_2,real,3.1322702560336375,1.053828607945036,3.0511309048103756,1.0206527872882263,0.6029090675745709,0.3292140776424332
Compression_2,centerbias,2.0612273,0.0,1.9876968,0.0,0.5496875,0.0
ContrastChange_1,deepgaze_1024_576,1.3999612,-1.0213507,1.3858955,-1.0124313,0.38478985,0.34488136
ContrastChange_1,real,3.195126706382813,1.1413755796362899,3.1630253062471816,1.076212350167522,0.6354297309345055,0.3583041762517033
ContrastChange_1,centerbias,1.9937558,0.0,1.8990123,0.0,0.6146197,0.0
ContrastChange_2,deepgaze_1024_576,1.724261,-1.363715,1.6889666,-1.3840312,0.38651034,0.39271793
ContrastChange_2,real,3.6465041507953555,1.0205056059344746,3.5157944359586084,1.001196801569862,0.6804652469923349,0.37138538423707834
ContrastChange_2,centerbias,2.5155861,0.0,2.464098,0.0,0.68230855,0.0
Cropping_1,deepgaze_1024_576,1.4419465,-0.7789941,1.3821988,-0.7647842,0.46123025,0.24243578
Cropping_1,real,2.8067381118149233,1.0448223835029902,2.716048139957974,1.0274064931926699,0.4981261824099249,0.27010664467322726
Cropping_1,centerbias,1.7866133,0.0,1.7919768,0.0,0.44242656,0.0
Cropping_2,deepgaze_1024_576,1.4789053,-0.7321274,1.4826226,-0.7195541,0.45687434,0.25351188
Cropping_2,real,2.792384620802035,1.012890502248685,2.6037192910480416,0.9603871583119701,0.5814637735992512,0.30521485039098445
Cropping_2,centerbias,1.7708107,0.0,1.7598097,0.0,0.4702821,0.0
Inversion,deepgaze_1024_576,1.6093795,-0.87669706,1.5700222,-0.9276795,0.46638265,0.36504623
Inversion,real,3.20396098773892,1.1066362500776907,3.081146813398984,1.0423764017417387,0.6390260150227707,0.29975102846701707
Inversion,centerbias,2.0362365,0.0,2.0639796,0.0,0.57099867,0.0
Mirroring,deepgaze_1024_576,1.5719358,-0.928548,1.4500444,-0.96420646,0.59702677,0.40427786
Mirroring,real,3.4858894725517136,1.2461706244065889,3.3567054005278902,1.2273198022777216,0.7912491949580606,0.3595772882521186
