transformation,model,quadratic_term
Boundary,DeepGaze IIE,-0.04035780049676524
Boundary,UNISAL,0.11561601551443411
Compression_1,DeepGaze IIE,-0.15916652641977885
Compression_1,UNISAL,-0.12021596699271048
Compression_2,DeepGaze IIE,-0.1595101472980469
Compression_2,UNISAL,-0.019113457243311083
ContrastChange_1,DeepGaze IIE,0.008150225740865871
ContrastChange_1,UNISAL,-0.16963856919215278
ContrastChange_2,DeepGaze IIE,-0.16523186454394442
ContrastChange_2,UNISAL,-0.11548827729970151
Cropping_1,DeepGaze IIE,-0.01229527488133845
Cropping_1,UNISAL,0.18497096493026197
Cropping_2,DeepGaze IIE,0.015106586635661485
Cropping_2,UNISAL,0.13458146613557265
Inversion,DeepGaze IIE,-0.0912639422644881
Inversion,UNISAL,-0.02943130484465538
Mirroring,DeepGaze IIE,-0.17366389626429476
Mirroring,UNISAL,-0.061371547552676375
MotionBlur_1,DeepGaze IIE,-0.025184507008674598
MotionBlur_1,UNISAL,-0.044887538472097144
MotionBlur_2,DeepGaze IIE,-0.01984739624709808
MotionBlur_2,UNISAL,0.012033994590472857
Noise_1,DeepGaze IIE,-0.06271682235951737
Noise_1,UNISAL,-0.13056374371081497
Noise_2,DeepGaze IIE,-0.018284528232110735
Noise_2,UNISAL,0.023354492319448188
Rotation_1,DeepGaze IIE,-0.0006996525356103064
Rotation_1,UNISAL,0.05877067673686198
Rotation_2,DeepGaze IIE,-0.08711210186481266
Rotation_2,UNISAL,0.08044655369686446
Shearing_1,DeepGaze IIE,-0.12115554569230035
Shearing_1,UNISAL,-0.081426495871934
Shearing_2,DeepGaze IIE,-0.07061247166774386
Shearing_2,UNISAL,0.007487437318614421
Shearing_3,DeepGaze IIE,-0.04666331226747188
Shearing_3,UNISAL,0.07513516396104225
