transformation,deepgaze_median_nss_delta,deepgaze_median_ig_delta,unisal_median_nss_delta,unisal_median_ig_delta
Reference,0.0,0.0,0.0,0.0
Boundary,-0.06273679279519859,-0.06560006373224754,-0.25672175867660635,-0.1325157130126231
Compression_1,-0.19522321154224742,-0.1331195690891858,-0.2662276150944786,-0.05976878844135446
Compression_2,-0.13991982904398442,-0.23456666198396198,-0.2332556446862214,-0.07859426461791853
ContrastChange_1,0.013347295577068319,0.05166095960938229,-0.2299730643827929,-0.18050780068179859
ContrastChange_2,-0.35818044718057385,-0.25858276357454185,-0.4370289268090866,-0.4818303188077935
Cropping_1,-0.20649797916143214,-0.1341000523202744,-0.16256499739977115,-0.13970443086198364
Cropping_2,-0.22145832293809833,-0.11899198565410252,-0.29108241351350883,-0.1346347507238779
Inversion,-0.3450816826876347,-0.2098117882864034,-0.4521438630711668,-0.2809551889509878
Mirroring,-0.07160944313164454,0.04821151731626393,-0.10230528620872364,0.0016440882995067945
MotionBlur_1,-0.5046862063172375,-0.4527011924849066,-0.41180943595836195,-0.32075695385560243
MotionBlur_2,-0.7537514887197797,-0.49913268627536617,-0.7550372195217981,-0.41123192199067354
Noise_1,-0.07389074261402975,-0.15935676232916535,-0.08808982052784708,-0.11731303084989753
Noise_2,-0.18627436722614135,-0.19644989967091614,-0.2660951844065274,-0.24721464504446392
Rotation_1,-0.18210125286226067,-0.3990276498011087,-0.6528228520726476,-0.7089622351698537
Rotation_2,-0.3960939629118809,-0.25028089030069395,-1.2833208516244639,-0.9375050804642276
Shearing_1,-0.20931229250201472,-0.16628158519955838,-0.28297064259830523,-0.26531099187938906
Shearing_2,0.03767049778005063,-0.029473127022799986,-0.4372902424508072,-0.370344373154444
Shearing_3,-0.1387589189691004,-0.3050312500053353,-0.634810156092554,-0.660569345284777
