transformation,image_number,ssim,cc,kl,reference_nss,reference_ig,transformed_nss,transformed_ig
Boundary,1,0.2483685055821884,0.6188827035183175,0.5355565,3.5088542,0.3722019,1.5144902,-0.5145005
Boundary,2,0.3054560697633053,0.6583885092939621,0.3762796,1.8124291,0.010935291,1.4792106,-0.3705306
Boundary,3,0.24230140613127707,0.9543503144267761,0.15370256,2.936771,-0.04200578,3.1683853,0.60228634
Boundary,4,0.4005673885678145,0.762882428774893,0.25985214,2.4554195,0.1489739,1.4131291,-0.6022954
Boundary,5,0.20155185154081093,0.7137662692707349,0.23687045,1.2642905,-0.6202049,2.3588238,-0.35466647
Boundary,6,0.2551448860891498,0.7768172385860002,0.30735612,4.563083,0.9936191,2.441569,0.7095123
Boundary,7,0.5857396031127456,0.7605146566445397,0.37527984,2.1356633,0.41628966,1.7750574,0.40213585
Boundary,8,0.2573988680741096,0.8331799077335988,0.5809151,4.1458554,0.8263603,2.6900485,-0.29654074
Boundary,9,0.2510807496667844,0.5529591022121809,0.6431528,2.779772,0.9915992,1.585092,-0.1891973
Boundary,10,0.2617346379309746,0.8542476431821107,0.15335055,1.6118802,-0.100395545,1.5021421,0.12884267
Boundary,11,0.15807100501284907,0.8595440500010716,0.21014974,1.5579278,0.31283173,1.8769329,0.40722457
Boundary,12,0.11307370412178885,0.7204440764404323,0.33929527,2.0434906,1.0415205,1.7969351,-0.09735469
Boundary,13,0.16828703425676914,0.8169875784336353,0.24220863,2.1729708,0.22032088,1.9211268,0.6404443
Boundary,14,0.5664501894578432,0.8955322215469539,0.15213007,1.6497128,0.10135792,1.987456,-0.075397566
Boundary,15,0.15018743882039248,0.6171942120869037,0.6765551,1.77245,0.39950767,1.3079478,-0.5198497
Boundary,16,0.22550058080935464,0.8460715844222841,0.13938445,1.108061,-0.6005963,1.1851188,-0.6641081
Boundary,17,0.11281659415820113,0.7487421492297234,0.18144903,2.736474,0.6196296,1.3099623,0.6953446
Boundary,18,0.1531828997573145,0.6080968101425329,0.502065,3.7007587,0.10149319,1.6818587,-0.51690525
Boundary,19,0.14825656403596302,0.8952559100158219,0.20466687,4.2967715,0.37725076,2.512655,-0.26814577
Boundary,20,0.16656243481471678,0.925627411688184,0.101591185,1.2547113,-0.12352672,1.5287002,-0.44297987
Boundary,21,0.2882203794479883,0.9107974911162173,0.29618672,5.0817847,1.0837563,4.054582,0.14931728
Boundary,22,0.17444557389356355,0.8676870642529353,0.1473602,3.0587187,0.46469757,1.9509907,0.19680734
Boundary,23,0.09186314396017113,0.8854417947250268,0.17307636,3.0580564,1.2671969,2.1657467,1.1992093
Boundary,24,0.15634777940937808,0.8447148104410366,0.15285182,2.150295,0.2148015,1.7054822,-0.48828253
Boundary,25,0.265168353163578,0.5553165753931992,0.4686577,3.805927,0.26284593,1.173896,-0.4673601
Boundary,26,0.2498823349526358,0.8610814996727295,0.13151067,1.521057,-0.400896,1.2045944,-0.28912753
Boundary,27,0.24789306699732092,0.8879891061431127,0.17145328,3.3845067,0.6675654,2.0602398,0.40705207
Boundary,28,0.279966068054511,0.7621126753536523,0.20362869,1.3019055,-0.014553692,1.8328664,-0.28045723
Boundary,29,0.2900441439107416,0.7285883103985209,0.19061276,1.5684596,0.4222848,1.1964452,0.24571887
Boundary,30,0.2973497135367698,0.8680225191073171,0.15320773,2.7790203,0.29745612,1.7802219,-0.24057502
