transformation,image_number,ssim,cc,kl,reference_nss,reference_ig,loss_nss,loss_ig
Boundary,1,0.2483685055821884,0.6188827035183175,0.5355565,3.5088542,0.3722019,0.780292875086046,0.6079307391692788
Boundary,2,0.3054560697633053,0.6583885092939621,0.3762796,1.8124291,0.010935291,0.5905963483799415,0.36976614353989323
Boundary,3,0.24230140613127707,0.9543503144267761,0.15370256,2.936771,-0.04200578,-0.05999261311797777,-0.35382404914467375
Boundary,4,0.4005673885678145,0.762882428774893,0.25985214,2.4554195,0.1489739,0.5975100420331142,0.6156539726374538
Boundary,5,0.20155185154081093,0.7137662692707349,0.23687045,1.2642905,-0.6202049,-0.21560609148324109,-0.14297261955163734
Boundary,6,0.2551448860891498,0.7768172385860002,0.30735612,4.563083,0.9936191,0.4595666334263331,0.17634082713890042
Boundary,7,0.5857396031127456,0.7605146566445397,0.37527984,2.1356633,0.41628966,-0.011958208314231694,0.11730082677148237
Boundary,8,0.2573988680741096,0.8331799077335988,0.5809151,4.1458554,0.8263603,0.576196242113671,0.8031042027150179
Boundary,9,0.2510807496667844,0.5529591022121809,0.6431528,2.779772,0.9915992,0.5912673185779611,0.680585559264927
Boundary,10,0.2617346379309746,0.8542476431821107,0.15335055,1.6118802,-0.100395545,-0.23200543038832674,-0.20807658865056428
Boundary,11,0.15807100501284907,0.8595440500010716,0.21014974,1.5579278,0.31283173,0.29795036526100344,-0.11788227937032378
Boundary,12,0.11307370412178885,0.7204440764404323,0.33929527,2.0434906,1.0415205,0.5464561514594921,0.5792153306027243
Boundary,13,0.16828703425676914,0.8169875784336353,0.24220863,2.1729708,0.22032088,0.035012158957051454,-0.2800018503170299
Boundary,14,0.5664501894578432,0.8955322215469539,0.15213007,1.6497128,0.10135792,0.17237858820940527,0.12325918763579222
Boundary,15,0.15018743882039248,0.6171942120869037,0.6765551,1.77245,0.39950767,0.774561493221148,0.7102360250522936
Boundary,16,0.22550058080935464,0.8460715844222841,0.13938445,1.108061,-0.6005963,0.4045084651581008,0.28010124628565836
Boundary,17,0.11281659415820113,0.7487421492297234,0.18144903,2.736474,0.6196296,0.35167955928127564,-0.10103026129897053
Boundary,18,0.1531828997573145,0.6080968101425329,0.502065,3.7007587,0.10149319,0.817471313318713,0.5211520481442078
Boundary,19,0.14825656403596302,0.8952559100158219,0.20466687,4.2967715,0.37725076,0.7037276814833346,0.5717159329849598
Boundary,20,0.16656243481471678,0.925627411688184,0.101591185,1.2547113,-0.12352672,0.3110776200716168,0.30773892196333635
Boundary,21,0.2882203794479883,0.9107974911162173,0.29618672,5.0817847,1.0837563,0.6573294007713179,0.5627520947060504
Boundary,22,0.17444557389356355,0.8676870642529353,0.1473602,3.0587187,0.46469757,0.4291336014349011,0.23156304368708022
Boundary,23,0.09186314396017113,0.8854417947250268,0.17307636,3.0580564,1.2671969,0.047854296018798315,-0.09699332927575394
Boundary,24,0.15634777940937808,0.8447148104410366,0.15285182,2.150295,0.2148015,0.6020456520577498,0.5372380632802894
Boundary,25,0.265168353163578,0.5553165753931992,0.4686577,3.805927,0.26284593,1.4118612258857333,0.6612412090208821
Boundary,26,0.2498823349526358,0.8610814996727295,0.13151067,1.521057,-0.400896,-0.011930185818181727,-0.07683476962260938
Boundary,27,0.24789306699732092,0.8879891061431127,0.17145328,3.3845067,0.6675654,0.424792300653599,0.33211643276627445
Boundary,28,0.279966068054511,0.7621126753536523,0.20362869,1.3019055,-0.014553692,0.17600962125742486,0.23423551085544525
Boundary,29,0.2900441439107416,0.7285883103985209,0.19061276,1.5684596,0.4222848,0.2921608092518031,0.1789657913026369
