transformation,model,mean_nss,mean_ig,median_nss,median_ig,std_nss,std_ig
Boundary,deepgaze_1024_576,1.4748291,0.87540317,1.4330956,0.8341279,0.43567982,0.32289863
Boundary,deepgaze_1920_1080,0.65558934,-1.0429142,0.60570073,-1.0813755,0.26510045,0.36724192
Boundary,unisal_384_224,1.7656726,4.4917707,1.6936705,4.451416,0.5524789,0.45661244
Boundary,unisal_384_288,1.7807605,4.1472726,1.666315,4.0849476,0.55036974,0.47974998
Boundary,unisal_384_216,1.7447362,4.543215,1.645525,4.4759517,0.53380406,0.43762392
Boundary,unisal_1920_1080,1.4018242,-0.38633293,1.3163879,-0.4479164,0.4642578,0.44581237
Boundary,real,3.1980003939666677,1.187808942777992,3.189300893740765,1.160719157975684,0.6740149399453934,0.3655956341397692
Boundary,centerbias,1.9633803,0.0,1.9420426,0.0,0.59344685,0.0
Compression_1,deepgaze_1024_576,1.5783559,0.8601647,1.5631897,0.8612658,0.4903551,0.30174667
Compression_1,deepgaze_1920_1080,0.4933162,-1.2959969,0.3903122,-1.3059855,0.35373294,0.34054044
Compression_1,unisal_384_224,1.9851338,4.526007,1.836828,4.5445347,0.7647872,0.48659775
Compression_1,unisal_384_288,1.9518349,4.144391,1.8264935,4.1332135,0.72499305,0.46991223
Compression_1,unisal_384_216,1.9786022,4.570267,1.819542,4.5477734,0.7791679,0.491844
Compression_1,unisal_1920_1080,1.465219,-0.50618464,1.3303785,-0.51065415,0.51910704,0.44115755
Compression_1,real,3.225170574858166,1.083170431364747,3.0956401023509286,1.009356037399751,0.665469851204014,0.31111934713035205
Compression_1,centerbias,2.0913703,0.0,2.0541286,0.0,0.5769051,0.0
Compression_2,deepgaze_1024_576,1.5438793,0.8663655,1.5218942,0.8901627,0.44616988,0.33487573
Compression_2,deepgaze_1920_1080,0.4529615,-1.2980092,0.3691096,-1.305505,0.3123971,0.3689328
Compression_2,unisal_384_224,1.9321104,4.522493,1.8008852,4.524448,0.70048285,0.47437033
Compression_2,unisal_384_288,1.9017183,4.1463056,1.7846217,4.1657,0.6500532,0.4594642
Compression_2,unisal_384_216,1.9238312,4.5662827,1.806102,4.5737696,0.7129433,0.48326057
Compression_2,unisal_1920_1080,1.4071853,-0.5068937,1.325072,-0.50877696,0.42057627,0.402472
Compression_2,real,3.1322702560336375,1.0538287698283373,3.0511309048103756,1.0206529457260063,0.6029090675745709,0.3292140482494618
Compression_2,centerbias,2.061227,0.0,1.9876965,0.0,0.5496875,0.0
ContrastChange_1,deepgaze_1024_576,1.3999612,0.7895282,1.3858957,0.79853773,0.38478985,0.34536672
ContrastChange_1,deepgaze_1920_1080,0.22979121,-1.4199281,0.21850085,-1.3955472,0.097345814,0.3834775
ContrastChange_1,unisal_384_224,1.7281418,4.39756,1.6811147,4.412524,0.58788896,0.38682553
ContrastChange_1,unisal_384_288,1.7822512,4.092812,1.783525,4.1064863,0.5548054,0.37074992
ContrastChange_1,unisal_384_216,1.6786157,4.418734,1.6518525,4.451478,0.58695203,0.41360927
ContrastChange_1,unisal_1920_1080,1.682336,-0.2679633,1.6481242,-0.26194176,0.59448713,0.42574373
ContrastChange_1,real,3.1951267063828137,1.1413758628288326,3.1630253062471807,1.0762127055909327,0.6354297309345054,0.35830415050000636
ContrastChange_1,centerbias,1.9937555,0.0,1.8990123,0.0,0.6146197,0.0
ContrastChange_2,deepgaze_1024_576,1.724261,0.44662744,1.6889668,0.42680445,0.38651034,0.393156
ContrastChange_2,deepgaze_1920_1080,0.29686388,-1.8231617,0.2932219,-1.8222241,0.09913073,0.41894647
ContrastChange_2,unisal_384_224,2.0138402,4.147526,2.065041,4.1306133,0.59675115,0.4235828
ContrastChange_2,unisal_384_288,2.113018,3.9025652,2.1310525,3.9206328,0.6737309,0.39685473
ContrastChange_2,unisal_384_216,1.9059539,4.1355815,1.9519267,4.1297503,0.5947955,0.45401502
ContrastChange_2,unisal_1920_1080,2.032994,-0.4141349,2.0723033,-0.42948478,0.6800762,0.358168
ContrastChange_2,real,3.6465041507953555,1.0205056663846357,3.5157944359586093,1.0011968689001924,0.6804652469923349,0.37138534557946296
ContrastChange_2,centerbias,2.5155861,0.0,2.4640977,0.0,0.6823085,0.0
Cropping_1,deepgaze_1024_576,1.4419465,1.0320984,1.3821986,1.0466242,0.46123016,0.24270697
Cropping_1,deepgaze_1920_1080,0.49586654,-1.084723,0.39108726,-1.077647,0.3453183,0.29082197
Cropping_1,unisal_384_224,1.7416726,4.514156,1.6949704,4.464341,0.64032793,0.45698756
Cropping_1,unisal_384_288,1.6836386,4.1111794,1.635901,4.0530176,0.60404885,0.44535923
Cropping_1,unisal_384_216,1.754774,4.59552,1.7174562,4.5532103,0.64780694,0.43588546
Cropping_1,unisal_1920_1080,1.2090561,-0.63092774,1.1780615,-0.68789095,0.44428802,0.47522828
Cropping_1,real,2.8067381118149233,1.0448223110861783,2.716048139957975,1.0274064086714378,0.4981261824099248,0.2701066307630335
Cropping_1,centerbias,1.7866135,0.0,1.7919768,0.0,0.44242653,0.0
Cropping_2,deepgaze_1024_576,1.4789053,1.0788193,1.4826229,1.0914452,0.45687437,0.25396305
Cropping_2,deepgaze_1920_1080,0.5260342,-1.03555,0.43089026,-1.0330148,0.34949574,0.3185847
Cropping_2,unisal_384_224,1.6687424,4.4665847,1.5627613,4.4771643,0.58418125,0.46638933
Cropping_2,unisal_384_288,1.5962301,4.057947,1.4864435,4.005156,0.5441593,0.44836307
Cropping_2,unisal_384_216,1.6783519,4.5523524,1.5538207,4.519332,0.597075,0.45098904
Cropping_2,unisal_1920_1080,1.2474895,-0.56582123,1.1758544,-0.61170995,0.4229731,0.4475666
Cropping_2,real,2.792384620802035,1.0128904337824094,2.6037192910480416,0.9603870101951464,0.581463773599251,0.3052148324079632
Cropping_2,centerbias,1.7708107,0.0,1.7598097,0.0,0.47028214,0.0
Inversion,deepgaze_1024_576,1.6093795,0.9339905,1.5700216,0.88214004,0.46638265,0.36535174
Inversion,deepgaze_1920_1080,0.5270092,-1.2274293,0.4008907,-1.23863,0.40418145,0.40539375
Inversion,unisal_384_224,1.7739906,4.4059463,1.6626499,4.314683,0.725736,0.46353263
Inversion,unisal_384_288,1.7818211,4.044483,1.7058254,3.9431286,0.71580476,0.45365977
Inversion,unisal_384_216,1.8018728,4.4757614,1.6861627,4.383567,0.7365248,0.44174308
Inversion,unisal_1920_1080,1.3958652,-0.5587906,1.3454798,-0.6207814,0.5011172,0.4299879
Inversion,real,3.2039609877389204,1.106636403034324,3.081146813398984,1.0423765680887562,0.6390260150227706,0.299750996007519
Inversion,centerbias,2.0362365,0.0,2.0639796,0.0,0.57099867,0.0
Mirroring,deepgaze_1024_576,1.5719355,0.8821676,1.4500442,0.84647846,0.59702665,0.404542
Mirroring,deepgaze_1920_1080,0.5572059,-1.2254176,0.42249897,-1.2586176,0.44421706,0.42901924
Mirroring,unisal_384_224,2.1574883,4.669721,1.9485048,4.6174293,0.8972957,0.53682035
Mirroring,unisal_384_288,2.128985,4.2870364,1.9410006,4.2490582,0.87962437,0.5456762
Mirroring,unisal_384_216,2.1482484,4.711577,1.9046476,4.678526,0.9100924,0.5540357
Mirroring,unisal_1920_1080,1.563263,-0.44264844,1.504069,-0.53247786,0.629265,0.50227803
Mirroring,real,3.4858894725517144,1.246170664865109,3.3567054005278907,1.227319906039607,0.7912491949580606,0.35957726566376746
Mirroring,centerbias,2.0552962,0.0,2.0087807,0.0,0.7007901,0.0
MotionBlur_1,deepgaze_1024_576,1.3256226,0.8481339,1.3075312,0.85416377,0.3677957,0.33578643
MotionBlur_1,deepgaze_1920_1080,0.24264641,-1.3496021,0.21076626,-1.3504465,0.11572512,0.36677557
MotionBlur_1,unisal_384_224,1.6099501,4.3368134,1.5475129,4.326548,0.5646612,0.38292053
MotionBlur_1,unisal_384_288,1.5871919,3.961367,1.527904,3.9623556,0.5446605,0.35296077
MotionBlur_1,unisal_384_216,1.5823088,4.3539715,1.5274737,4.3200827,0.57733333,0.39635405
MotionBlur_1,unisal_1920_1080,1.3169693,-0.54421693,1.2435622,-0.5722246,0.4468014,0.3537378
MotionBlur_1,real,2.7736022160222222,0.9424412902675579,2.6924002126872404,0.884130553662615,0.5194570402368476,0.26798785115832136
MotionBlur_1,centerbias,1.911655,0.0,1.8469791,0.0,0.5057978,0.0
MotionBlur_2,deepgaze_1024_576,1.3987038,0.8288298,1.3707855,0.8216139,0.33727795,0.32196903
MotionBlur_2,deepgaze_1920_1080,0.25839636,-1.3728343,0.23393764,-1.385515,0.12145756,0.34624633
MotionBlur_2,unisal_384_224,1.5802215,4.277849,1.4094195,4.252387,0.52969813,0.3309587
MotionBlur_2,unisal_384_288,1.5432667,3.8995256,1.4114758,3.889336,0.485957,0.30344826
MotionBlur_2,unisal_384_216,1.5544096,4.2921014,1.3996097,4.2636547,0.53489715,0.34233373
MotionBlur_2,unisal_1920_1080,1.3380275,-0.58889097,1.2796173,-0.56939644,0.44332716,0.34700027
MotionBlur_2,real,2.7938335693025884,0.9172483093859212,2.6598800612722173,0.8564866047090417,0.5432069470712112,0.25796435589117944
MotionBlur_2,centerbias,1.9627794,0.0,1.9232099,0.0,0.48617765,0.0
Noise_1,deepgaze_1024_576,1.4365742,0.8013477,1.3546517,0.7669598,0.46720278,0.3878248
Noise_1,deepgaze_1920_1080,0.46150947,-1.246872,0.3913452,-1.2802982,0.2761487,0.38844666
Noise_1,unisal_384_224,1.9361535,4.458151,1.8118005,4.4970036,0.7676509,0.4301153
Noise_1,unisal_384_288,1.8797619,4.0519786,1.7476537,4.077567,0.73828924,0.4019043
Noise_1,unisal_384_216,1.9169697,4.4740086,1.7781441,4.503469,0.7733088,0.44712692
Noise_1,unisal_1920_1080,1.4840112,-0.5889132,1.3601084,-0.5696475,0.58338714,0.43809888
Noise_1,real,3.1905471602338404,1.136036256512031,3.006926570767794,1.0895146473442163,0.7084392446085616,0.3015009820812956
Noise_1,centerbias,1.983005,0.0,1.8471756,0.0,0.63846415,0.0
Noise_2,deepgaze_1024_576,1.4111948,0.7205358,1.4186739,0.67885184,0.3770239,0.37974504
Noise_2,deepgaze_1920_1080,0.41444007,-1.3055534,0.39362323,-1.3309212,0.18055263,0.37953478
Noise_2,unisal_384_224,1.848787,4.3179817,1.7451735,4.347212,0.67325723,0.46699247
Noise_2,unisal_384_288,1.7970719,3.9243379,1.7279267,3.8711185,0.6322161,0.4377922
Noise_2,unisal_384_216,1.8464317,4.352493,1.6960821,4.352728,0.6809766,0.4583647
Noise_2,unisal_1920_1080,1.554865,-0.5103641,1.5631751,-0.56951606,0.47602308,0.3267204
Noise_2,real,3.204088672870146,1.1133637138564365,3.0659541476166217,1.0570934793894946,0.6489728289162618,0.3176900150971932
Noise_2,centerbias,2.03292,0.0,1.9730523,0.0,0.6097197,0.0
Reference,deepgaze_1024_576,1.5638337,0.8705096,1.4777114,0.8565836,0.609283,0.38815606
Reference,deepgaze_1920_1080,0.5849512,-1.2180774,0.44687557,-1.2027302,0.474167,0.40783715
Reference,unisal_384_224,2.1563418,4.641323,2.0197787,4.609915,0.9114578,0.5142648
Reference,unisal_384_288,2.1165197,4.2525105,1.9366572,4.240638,0.90620416,0.515393
Reference,unisal_384_216,2.139228,4.6800537,1.9991944,4.678977,0.92142737,0.51602
Reference,unisal_1920_1080,1.6001309,-0.4406979,1.5000732,-0.49596962,0.67424613,0.50196236
Reference,real,3.534854730051088,1.2653773402184634,3.3283800132598236,1.2086025839553955,0.8275498290117511,0.36352609203179326
Reference,centerbias,2.0664535,0.0,1.9398147,0.0,0.704585,0.0
Rotation_1,deepgaze_1024_576,2.592224,0.03257651,2.5452337,0.02668684,0.6105801,0.37223455
Rotation_1,deepgaze_1920_1080,1.2705777,-2.002635,1.1421566,-2.0400891,0.7112252,0.43626243
Rotation_1,unisal_384_224,2.9622326,4.087065,2.9195576,4.1456156,0.7090807,0.33725175
Rotation_1,unisal_384_288,2.832523,3.6698492,2.742835,3.71762,0.7313363,0.35388526
Rotation_1,unisal_384_216,2.971806,4.136521,2.872754,4.19276,0.6966641,0.33546135
Rotation_1,unisal_1920_1080,2.5800452,-0.7627536,2.354628,-0.7619338,0.7720386,0.37891594
Rotation_1,real,4.523305735563974,0.6871623132657753,4.40261485484684,0.6512207458073828,0.7922512508194045,0.2203020167171819
Rotation_1,centerbias,3.491998,0.0,3.4729352,0.0,0.69599706,0.0
Rotation_2,deepgaze_1024_576,2.5328734,-0.039517798,2.4526396,-0.021861129,0.5773696,0.34128958
Rotation_2,deepgaze_1920_1080,1.2567897,-2.050965,1.0239961,-2.043467,0.7585478,0.41107878
Rotation_2,unisal_384_224,2.8460877,4.0498924,2.6666589,4.0732284,0.7225973,0.32326868
Rotation_2,unisal_384_288,2.7479844,3.6392145,2.5238514,3.657652,0.7551927,0.35372555
Rotation_2,unisal_384_216,2.876624,4.1054688,2.6860938,4.1296725,0.7188076,0.31694466
Rotation_2,unisal_1920_1080,2.5296814,-0.74885225,2.4101758,-0.7441024,0.6959762,0.34699887
Rotation_2,real,4.435543809659634,0.6190207373444787,4.284504389638022,0.5785473982837819,0.7850025913093001,0.2069447264618777
Rotation_2,centerbias,3.5649142,0.0,3.557622,0.0,0.7062615,0.0
Shearing_1,deepgaze_1024_576,1.7728462,0.7474811,1.6827512,0.70768714,0.5629717,0.3505639
Shearing_1,deepgaze_1920_1080,0.73958033,-1.331572,0.6290953,-1.3431054,0.4729701,0.3649065
Shearing_1,unisal_384_224,2.13535,4.411668,2.0055459,4.338237,0.76771957,0.43058595
Shearing_1,unisal_384_288,2.0548892,3.993796,1.9693537,3.9412737,0.7207831,0.42543977
Shearing_1,unisal_384_216,2.122496,4.442159,1.9893944,4.39571,0.7647925,0.430884
Shearing_1,unisal_1920_1080,1.7231147,-0.4787028,1.6364677,-0.5014067,0.59487635,0.41342178
Shearing_1,real,3.550375158250751,1.0863398160305422,3.359921161153124,1.074051527988817,0.7629648480729092,0.3061329800280438
Shearing_1,centerbias,2.3189306,0.0,2.254654,0.0,0.6652876,0.0
Shearing_2,deepgaze_1024_576,2.1215723,0.59691983,2.0688462,0.5842397,0.5639106,0.33510268
Shearing_2,deepgaze_1920_1080,0.87375396,-1.5440785,0.68648386,-1.5800104,0.5156682,0.3833383
Shearing_2,unisal_384_224,2.2001665,4.291229,2.0688705,4.283572,0.7336219,0.41757286
Shearing_2,unisal_384_288,2.2686133,3.9532158,2.145386,3.9151258,0.75559705,0.42284623
Shearing_2,unisal_384_216,2.174103,4.321041,2.036974,4.3045025,0.73280877,0.42081615
Shearing_2,unisal_1920_1080,1.8712399,-0.5991691,1.7899437,-0.6514033,0.5625256,0.38024727
Shearing_2,real,3.7558166875697823,0.9027946649332631,3.5362226311437217,0.8643367068434283,0.7797727885389095,0.26232329274206734
Shearing_2,centerbias,2.6169605,0.0,2.4726949,0.0,0.6848893,0.0
Shearing_3,deepgaze_1024_576,2.5081685,0.3099747,2.4455628,0.33933347,0.5363712,0.37169376
Shearing_3,deepgaze_1920_1080,1.2524875,-1.7319129,1.1527059,-1.746146,0.6016797,0.40581903
Shearing_3,unisal_384_224,2.743305,4.156785,2.592547,4.1635227,0.63490397,0.32782164
Shearing_3,unisal_384_288,2.6946058,3.7564275,2.5672045,3.7626824,0.60269,0.34388974
Shearing_3,unisal_384_216,2.7316277,4.1933656,2.5998666,4.2229347,0.6396641,0.32607898
Shearing_3,unisal_1920_1080,2.2485309,-0.66424745,2.1550245,-0.67550397,0.51297015,0.33491835
Shearing_3,real,4.076465772479957,0.6869893230885867,3.8994733275505684,0.6790464621901424,0.7786261202225412,0.2167748794155891
Shearing_3,centerbias,3.1897912,0.0,3.0708485,0.0,0.7438905,0.0
